#name,airport,city,country,description,type,latitude,longitude
Fresnaye,CPT,Cape Town,ZA,,Elite residential,,
Clifton,CPT,Cape Town,ZA,,Elite residential,,
Nettleton Road,CPT,Cape Town,ZA,,Elite residential,,
Cape Grace,CPT,,ZA,Fairmont,Luxury hotel,,
Mount Nelson,CPT,,ZA,,Luxury hotel,,
Belmond Mount Nelson Hotel,CPT,Cape Town,ZA,,Luxury hotel,,
The Silo Hotel,CPT,,ZA,,Luxury hotel,,
La Residence,CPT,,ZA,,Luxury hotel,,
Birkenhead House,CPT,,ZA,,Luxury hotel,,
JW Marriott Hotel Changsha,CSX,,CN,JW Marriott,Luxury hotel,,
Meixi Lake Hotel,CSX,,CN,Luxury Collection Hotels,Luxury hotel,,
The St. Regis Changsha,CSX,,CN,St. Regis,Luxury hotel,,
Four Seasons TAORMINA,CTA,,IT,Four Seasons,Luxury hotel,,
Therasia Resort,CTA,Vulcano,IT,Two Michelin keys,Luxury hotel,,
Grand Hotel Timeo,CTA,,IT,,Luxury hotel,,
Belmond Villa Sant'Andrea,CTA,Catania,IT,,Luxury hotel,,
Belmond Grand Hotel Timeo,CTA,Catania,IT,,Luxury hotel,,
Cartagena,CTG,,CO,A historic port city on Colombia's Caribbean coast,Elite residential,,
Charleston Santa Teresa Cartagena Hotel,CTG,,CO,,Luxury hotel,,
Sofitel Legend Santa Clara Cartagena,CTG,Cartagena,CO,,Luxury hotel,10.422,-75.5398
Higashiyama Niseko Village,CTS,,JP,Ritz-Carlton,Luxury hotel,,
Rosewood Niseko,CTS,,JP,Rosewood Hotel,Luxury hotel,,
Park Hyatt Niseko Hanazono,CTS,Sapporo,JP,,Luxury hotel,,
Niseko,CTS,,JP,Elite ski destination on the island of Hokkaido renowned for its powder snow,Ski Resort,,
Shangri-La Chengdu,CTU,Chengdu,CN,,Luxury hotel,30.7167,104.0667
Puerto Cancun,CUN,Cancún,MX,,Elite residential,,
Etéreo,CUN,,MX,Auberge Resorts,Luxury hotel,,
The Riviera Maya at Kanai EDITION,CUN,,MX,EDITION,Luxury hotel,,
JW Marriott Cancun Resort & Spa,CUN,,MX,JW Marriott,Luxury hotel,,
One&Only,CUN,,MK,One&Only,Luxury hotel,,
Rosewood Riviera Maya,CUN,,MX,Rosewood Hotel,Luxury hotel,,
The St. Regis Kanai Resort Riviera Maya,CUN,,MX,St. Regis,Luxury hotel,,
Maroma,CUN,,MX,,Luxury hotel,,
Waldorf Astoria Cancún,CUN,Cancun,MX,,Luxury hotel,,
Belmond Maroma Resort & Spa,CUN,Cancun,MX,,Luxury hotel,,
Chablé Maroma,CUN,,MX,,Luxury hotel,,
JW Marriott El Convento Cusco,CUZ,,PE,JW Marriott,Luxury hotel,,
Hiram Bingham,CUZ,,PE,,Luxury hotel,,
Monasterio,CUZ,,PE,,Luxury hotel,,
Palacio Nazarenas,CUZ,,PE,,Luxury hotel,,
Belmond Palacio Nazarenas,CUZ,Cusco,PE,,Luxury hotel,,
Belmond Hotel Monasterio,CUZ,Cusco,PE,,Luxury hotel,,
Belmond Sanctuary Lodge,CUZ,Cusco,PE,,Luxury hotel,,
Belmond Hotel Rio Sagrado Urubamba,CUZ,Cusco,PE,,Luxury hotel,,
Vancouver,CXH,,CA,,Elite residential,,
Amanoi,CXR,,VN,Aman resorts,Luxury hotel,,
Rosewood Ninh Hải,CXR,,VN,Rosewood Hotel,Luxury hotel,,
Four Seasons HOI AN,DAD,,VN,Four Seasons,Luxury hotel,,
Six Senses VIETNAM,DAD,,VN,Six Senses Resorts,Luxury hotel,,
Bowie House,DAL,Dallas,US,Auberge Resorts,Luxury hotel,,
The Knox,DAL,Dallas,US,Auberge Resorts,Luxury hotel,,
The Ritz-Carlton Dallas,DAL,Dallas,US,Ritz-Carlton,Luxury hotel,,
Rosewood Dallas,DAL,Dallas,US,Rosewood Hotel,Luxury hotel,,
Al Alamein,DBB,,EG,,Elite residential,,
Dubrovnik Old Town,DBV,,HR,,Elite residential,,
US Capitol,DCA,Washington,US,,Elite Destination,,
John. F Kenedy Center for the Perfoming Arts,DCA,Washington,US,,Elite Destination,,
Georgetown,DCA,Washington,US,,Elite residential,,
Four Seasons WASHINGTON DC,DCA,Washington,US,Four Seasons,Luxury hotel,,
JW Marriott Washington,DCA,Washington,US,JW Marriott,Luxury hotel,,
The Ritz-Carlton Georgetown,DCA,Washington,US,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Washington,DCA,Washington,US,Ritz-Carlton,Luxury hotel,,
Rosewood Washington,DCA,Washington,US,Rosewood Hotel,Luxury hotel,,
The St. Regis Washington,DCA,Washington,US,St. Regis,Luxury hotel,,
Waldorf Astoria Washington D.C.,DCA,Washington,US,,Luxury hotel,,
Park Hyatt Washington D.C.,DCA,Washington,US,,Luxury hotel,,
Fairmont Washington D.C. Georgetown,DCA,Washington,US,,Luxury hotel,38.905,-77.0633
The Oberoi Cecil,DED,,IN,The Oberoi,Luxury hotel,,
Wildflower Hall,DED,,IN,The Oberoi,Luxury hotel,,
Rashtrapati Bhavan,DEL,Delhi,IN,,Elite Destination,,
JW Marriott Hotel New Delhi Aerocity,DEL,Delhi,IN,JW Marriott,Luxury hotel,,
JW Marriott Mussoorie Walnut Grove Resort & Spa,DEL,Delhi,IN,JW Marriott,Luxury hotel,,
The Leela Palace,DEL,,IN,One of the most luxurious Indian hotels located in the Diplomatic Area of the city,Luxury hotel,,
Rosewood Alwar,DEL,Delhi,IN,Rosewood Hotel,Luxury hotel,,
Six Senses INDIA,DEL,Delhi,IN,Six Senses Resorts,Luxury hotel,,
The Oberoi,DEL,Delhi,IN,The Oberoi,Luxury hotel,,
The Imperial,DEL,,IN,Vintage hotel built in 1936 during the British Raj one of the first hotels in New Delhi was the hotel where Gandhi Nehru Jinnah & Lord Mountbatten repeatedly met at to discuss the partition of India ,Luxury hotel,,
ITC Maurya,DEL,,IN,,Luxury hotel,,
ITC Sheraton Saket,DEL,,IN,,Luxury hotel,,
Le Meridien,DEL,,IN,,Luxury hotel,,
Andaz Apna Khet,DEL,Delhi,IN,,Luxury hotel,,
Andaz Delhi,DEL,Delhi,IN,,Luxury hotel,,
Taj Mahal Hotel New Delhi,DEL,New Delhi,IN,,Luxury hotel,28.6139,77.209
Taj Palace New Delhi,DEL,New Delhi,IN,,Luxury hotel,28.5714,77.1661
Shangri-La Eros New Delhi,DEL,New Delhi,IN,,Luxury hotel,28.6139,77.209
Cherry Hills Village,DEN,Denver,US,,Elite residential,,
Four Seasons DENVER,DEN,,US,Four Seasons,Luxury hotel,,
Clayton Hotel & Members Club,DEN,,US,MICHELIN One Key Hotel,Luxury hotel,,
The Crawford Hotel,DEN,,US,MICHELIN One Key Hotel,Luxury hotel,,
The Ritz-Carlton Denver,DEN,,US,Ritz-Carlton,Luxury hotel,,
Everline Resort & Spa,DEN,Denver,US,,Luxury hotel,,
Highland Park,DFW,Dallas,US,,Elite residential,,
JW Marriott Dallas Arts District,DFW,Dallas,US,JW Marriott,Luxury hotel,,
Shangri-La,DIG,,CN,An exclusive Tibetan town in Yunnan Province,Adventure Tourism,,
Shangri-La Resort,DIG,Shangri-La,CN,,Luxury hotel,27.8319,99.7025
Banyan Tree Ringha,DIG,,CN,,Luxury hotel,,
Four Seasons DALIAN,DLC,,CN,Four Seasons,Luxury hotel,,
The Castle Hotel,DLC,,CN,Luxury Collection Hotels,Luxury hotel,,
Shangri-La Dalian,DLC,Dalian,CN,,Luxury hotel,38.9141,121.6146
Conrad Dalian,DLC,Dalian,CN,,Luxury hotel,,
Dalaman,DLM,,TR,,Luxury hotel,,
Dali,DLU,Yunnan,CN,An ancient city in Yunnan Province,Elite residential,,
Hotel Metropol Moscow,DME,Moscow,RU,,Luxury hotel,55.7558,37.6173
The Gleneagles Hotel,DND,,GB,,Luxury hotel,,
Grand Hôtel Barrière,DNR,,FR,,Luxury hotel,,
Qatar GP,DOH,,QA,Formula One race held at the Lusail International Circuit,Elite Destination,25.49,51.45417
The Doha EDITION,DOH,,QA,EDITION,Luxury hotel,,
Four Seasons DOHA,DOH,,QA,Four Seasons,Luxury hotel,,
Four Seasons DOHA (THE PEARL-QATAR),DOH,,QA,Four Seasons,Luxury hotel,,
JW Marriott Marquis City Center Doha,DOH,,QA,JW Marriott,Luxury hotel,,
Mandarin Oriental Doha,DOH,,QA,Mandarin Oriental,Luxury hotel,,
Sharq Village & Spa,DOH,,QA,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Doha,DOH,,QA,Ritz-Carlton,Luxury hotel,,
The St. Regis Doha,DOH,,QA,St. Regis,Luxury hotel,,
The St. Regis Marsa Arabia Island,DOH,,QA,St. Regis,Luxury hotel,,
Waldorf Astoria Doha West Bay,DOH,Doha,QA,,Luxury hotel,,
Waldorf Astoria Lusail Doha,DOH,Doha,QA,,Luxury hotel,,
Banyan Tree Doha At La Cigale Mushaireb,DOH,Doha,QA,,Luxury hotel,,
Raffles Doha,DOH,Doha,QA,,Luxury hotel,,
Aman Villas at Nusa Dua,DPS,,ID,Aman resorts,Luxury hotel,,
Amandari,DPS,,ID,Aman resorts,Luxury hotel,,
Amankila,DPS,,ID,Aman resorts,Luxury hotel,,
Bulgari Resort Bali,DPS,Bali,ID,Bulgari Hotel,Luxury hotel,,
COMO Shambhala Estate,DPS,Bali,ID,COMO,Luxury hotel,,
COMO Uma Canggu,DPS,Bali,ID,COMO,Luxury hotel,,
Four Seasons BALI AT JIMBARAN BAY,DPS,Bali,ID,Four Seasons,Luxury hotel,,
Four Seasons BALI AT SAYAN,DPS,Bali,ID,Four Seasons,Luxury hotel,,
HOSHINOYA Bali,DPS,Bali,ID,HOSHINOYA,Luxury hotel,,
Mandapa,DPS,Bali,ID,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Bali,DPS,Bali,ID,Ritz-Carlton,Luxury hotel,,
Rosewood Karangasem,DPS,Bali,ID,Rosewood Hotel,Luxury hotel,,
Rosewood Nusa Dua,DPS,Bali,ID,Rosewood Hotel,Luxury hotel,,
Rosewood Ubud,DPS,Bali,ID,Rosewood Hotel,Luxury hotel,,
Six Senses INDONESIA,DPS,Bali,ID,Six Senses Resorts,Luxury hotel,,
The St. Regis Bali Resort,DPS,Bali,ID,St. Regis,Luxury hotel,,
Jimbaran Puri,DPS,Bali,ID,,Luxury hotel,,
Waldorf Astoria Bali,DPS,Denpasar,ID,,Luxury hotel,,
Conrad Bali,DPS,Denpasar,ID,,Luxury hotel,,
Andaz Bali,DPS,Denpasar,ID,,Luxury hotel,,
Raffles Bali,DPS,Denpasar,ID,,Luxury hotel,,
Banyan Tree Escape,DPS,,TH,,Luxury hotel,,
Kakadu National Park,DRW,,AU,,Adventure Tourism,,
The Godfrey Detroit,DTW,,US,Curio Collection,Luxury hotel,,
The Shinola Hotel,DTW,,US,,Luxury hotel,,
University of Michigan,DTW,,US,,University,,
Temple Bar,DUB,,IE,,Elite residential,,
Shelbourne hotel,DUB,,IE,,Luxury hotel,,
Conrad Dublin,DUB,Dublin,IE,,Luxury hotel,,
The Merrion,DUB,,IE,,Luxury hotel,,
Trinity College,DUB,,IE,,University,,
The Wellem,DUS,,DE,Hyatt Unbound,Luxury hotel,,
Breidenbacher Hof Düsseldorf,DUS,,DE,,Luxury hotel,,
Bulgari Resort Dubai,DXB,,AE,Bulgari Hotel,Luxury hotel,,
The Dubai EDITION,DXB,Dubai,AE,EDITION,Luxury hotel,,
Four Seasons DUBAI AT JUMEIRAH BEACH,DXB,Dubai,AE,Four Seasons,Luxury hotel,,
Four Seasons DUBAI INTERNATIONAL FINANCIAL CENTRE,DXB,Dubai,AE,Four Seasons,Luxury hotel,,
JW Marriott Hotel Marina,DXB,Dubai,AE,JW Marriott,Luxury hotel,,
JW Marriott Marquis Hotel Dubai,DXB,Dubai,AE,JW Marriott,Luxury hotel,,
Mandarin Oriental Dubai,DXB,Dubai,AE,Mandarin Oriental,Luxury hotel,,
One&Only Dubai,DXB,Dubai,AE,One&Only,Luxury hotel,,
The Ritz-Carlton Dubai,DXB,Dubai,AE,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Dubai Financial Centre,DXB,Dubai,AE,Ritz-Carlton,Luxury hotel,,
The St. Regis Downtown Dubai,DXB,Dubai,AE,St. Regis,Luxury hotel,,
The St. Regis Dubai The Palm,DXB,Dubai,AE,St. Regis,Luxury hotel,,
Al Zorah,DXB,Dubai,AE,The Oberoi,Luxury hotel,,
Waldorf Astoria Dubai International Financial Centre,DXB,Dubai,AE,,Luxury hotel,,
Waldorf Astoria Dubai Palm Jumeirah,DXB,Dubai,AE,,Luxury hotel,,
Conrad Dubai,DXB,Dubai,AE,,Luxury hotel,,
Andaz Dubai The Palm,DXB,Dubai,AE,,Luxury hotel,,
Park Hyatt Dubai,DXB,Dubai,AE,,Luxury hotel,,
Raffles Dubai,DXB,Dubai,AE,,Luxury hotel,,
Raffles The Palm Dubai,DXB,Dubai,AE,,Luxury hotel,,
Jumeirah Burj Al Arab,DXB,Dubai,AE,,Luxury hotel,,
Shangri-La Dubai,DXB,Dubai,AE,,Luxury hotel,25.2528,55.3644
Zhangjiajie National Forest Park,DYG,,CN,Hike through otherworldly sandstone pillars with upscale hotels offering breathtaking mountain views.,Adventure Tourism,,
Hotel Maria Cristina,EAS,,ES,Luxury Collection Hotels,Luxury hotel,,
Akelarre,EAS,San Sebastian,ES,,Luxury hotel,,
Nobu Hotel San Sebastian,EAS,,ES,,Luxury hotel,,
Queen Elizabeth National Park,EBB,,UG,Track chimpanzees and gorillas in lush rainforests with high-end lodges boasting exceptional wildlife viewing.,Adventure Tourism,,
Royal Mile Edinburgh,EDI,Edinburgh,GB,Radisson Collection Hotel,Luxury hotel,55.9491768,3.19315743
The Balmoral,EDI,Edinburgh,GB,Rocco Forte Hotel,Luxury hotel,55.9533,-3.1883
Fairmont St Andrews,EDI,,GB,,Luxury hotel,,
Four Seasons VAIL,EGE,,US,Four Seasons,Luxury hotel,,
The Hythe,EGE,,US,Luxury Collection Hotels,Luxury hotel,,
The Ritz-Carlton Bachelor Gulch,EGE,,US,Ritz-Carlton,Luxury hotel,,
Vail Residences at Cascade Village,EGE,Vail/Eagle,US,,Luxury hotel,,
Park Hyatt Beaver Creek Resort and Spa,EGE,Vail/Eagle,US,,Luxury hotel,,
The Ritz-Carlton Club Vail,EGE,,US,,Ski Resort,,
Tortola,EIS,,VG,,Elite residential,,
Rosewood British Virgin Islands,EIS,,VG,Rosewood Hotel,Luxury hotel,,
JW Marriott Hotel Ankara,ESB,,TR,JW Marriott,Luxury hotel,,
Lugal,ESB,,TR,Luxury Collection Hotels,Luxury hotel,,
Rosario Village,ESD,,US,,Elite residential,,
Lofoten Islands,EVE,,NO,,Adventure Tourism,,
The Alexander,EVN,,AM,Luxury Collection Hotels,Luxury hotel,,
Short Hills NJ,EWR,,US,,Elite residential,,
TriBeCa,EWR,New York,US,,Elite residential,,
Four Seasons NEW YORK,EWR,New York,US,Four Seasons,Luxury hotel,,
The Ritz-Carlton New York,EWR,New York,US,Ritz-Carlton,Luxury hotel,,
The Peninsula New York,EWR,New York,US,The Peninsula,Luxury hotel,,
Conrad New York Downtown,EWR,New York City,US,,Luxury hotel,,
Princeton University,EWR,New York,US,,University,,
Margaritaville Beach House Key West,EYW,Key West,US,,Luxury hotel,,
Hyatt Centric Key West Resort & Spa,EYW,Key West,US,,Luxury hotel,,
Perry Hotel & Marina,EYW,Key West,US,,Luxury hotel,,
Puerto Madero,EZE,,AR,,Elite residential,,
Recoleta,EZE,,AR,,Elite residential,,
Faena Hotel Buenos Aires,EZE,,AR,Faena,Luxury hotel,,
Four Seasons BUENOS AIRES,EZE,,AR,Four Seasons,Luxury hotel,,
Park Tower,EZE,,AR,Luxury Collection Hotels,Luxury hotel,,
Park Hyatt Buenos Aires,EZE,Buenos Aires,AR,,Luxury hotel,,
Jockey Club,EZE,,AR,,Luxury hotel,,
The Faroe Islands,FAE,,FO,Remote and rugged landscapes with luxury accommodations and exclusive wildlife experiences.,Adventure Tourism,,
Pine Cliffs Ocean Suites,FAO,,PT,Luxury Collection Hotels,Luxury hotel,,
Conrad Algarve,FAO,Faro,PT,,Luxury hotel,,
Vila Vita Parc,FAO,,PT,,Luxury hotel,,
Yosemite National Park,FAT,,US,,Adventure Tourism,,
Glacier National Park,FCA,,US,,Adventure Tourism,,
Parioli,FCO,Rome,IT,,Elite residential,,
Trastevere,FCO,Rome,IT,,Elite residential,,
Bulgari Hotel Roma,FCO,,IT,Bulgari Hotel,Luxury hotel,,
The Rome EDITION,FCO,,IT,EDITION,Luxury hotel,,
Palazzo Montemartini Rome,FCO,Rome,IT,Radisson Collection Hotel,Luxury hotel,41.9037552,12.5003262
Six Senses ITALY,FCO,,IT,Six Senses Resorts,Luxury hotel,,
The St. Regis Rome,FCO,,IT,St. Regis,Luxury hotel,,
Aleph Rome Hotel,FCO,Rome,IT,Curio Collection,Luxury hotel,,
Rome Cavalieri A Waldorf Astoria Hotel,FCO,Rome,IT,,Luxury hotel,,
Hotel Lord Bryon,FCO,Rome,IT,,Luxury hotel,,
Maalot Roma,FCO,Rome,IT,,Luxury hotel,,
Parco dei Principi Grand Hotel & Spa,FCO,Rome,IT,,Luxury hotel,,
Fernando de Noronha,FEN,,BR,A pristine archipelago off Brazil's northeast coast,Adventure Tourism,,
Brenners Park-Hotel & Spa,FKB,,DE,Oetker Collection Hotels,Luxury hotel,,
Roomers Baden-Baden,FKB,,DE,,Luxury hotel,,
Windmill Ranch Estates,FLL,Fort Lauderdale,US,,Elite residential,,
Auberge Beach Residences,FLL,Fort Lauderdale,US,Auberge Resorts,Luxury hotel,,
Shell Bay Club and Resort,FLL,Fort Lauderdale,US,Auberge Resorts,Luxury hotel,,
Four Seasons FORT LAUDERDALE,FLL,Fort Lauderdale,US,Four Seasons,Luxury hotel,,
JW Marriott Marquis Miami,FLL,Fort Lauderdale,US,JW Marriott,Luxury hotel,,
The Ritz-Carlton Bal Harbour,FLL,Fort Lauderdale,US,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Coconut Grove,FLL,Fort Lauderdale,US,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Fort Lauderdale,FLL,Fort Lauderdale,US,Ritz-Carlton,Luxury hotel,,
Conrad Fort Lauderdale Beach,FLL,Fort Lauderdale,US,,Luxury hotel,,
Florianópolis,FLN,,BR,,Elite residential,,
Palio di Siena,FLR,Siena Italy,IT,Historic twice-yearly horse race held in the heart of Siena with bareback riders representing different districts filled with pageantry and tradition.,Elite Destination,,
Collegio alla Querce,FLR,Firenze,IT,Auberge Resorts,Luxury hotel,,
COMO Castello Del Nero,FLR,Firenze,IT,COMO,Luxury hotel,,
Podere San Filippo,FLR,Firenze,IT,COMO,Luxury hotel,,
Four Seasons FLORENCE,FLR,Firenze,IT,Four Seasons,Luxury hotel,,
Rosewood Castiglion del Bosco,FLR,Firenze,IT,Rosewood Hotel,Luxury hotel,,
The St. Regis Florence,FLR,Firenze,IT,St. Regis,Luxury hotel,,
Grand Hotel Continental ,FLR,,IT,Star Hotels,Luxury hotel,,
Castello di Casole,FLR,Firenze,IT,,Luxury hotel,,
Villa San Michele,FLR,Firenze,IT,,Luxury hotel,,
Corte della Maestà,FLR,Florence,IT,,Luxury hotel,,
Belmond Villa San Michele,FLR,Florence,IT,,Luxury hotel,,
Belmond Castello di Casole,FLR,Florence,IT,,Luxury hotel,,
IL Tornabuoni Hotel,FLR,Florence,IT,,Luxury hotel,,
Hotel Helvetia & Bristol,FLR,,IT,,Luxury hotel,,
Reid's Palace,FNC,,PT,,Luxury hotel,,
Belmond Reid's Palace,FNC,Funchal,PT,,Luxury hotel,,
"Savoy Palace, Madeira Island ",FNC,,PT,,Luxury hotel,,
Shangri-La Fuzhou,FOC,Fuzhou,CN,,Luxury hotel,26.0789,119.3031
Shangri-La Putian,FOC,Putian,CN,,Luxury hotel,25.4333,119
Prestigious countryside estates favored by affluent investors,FRA,Frangford am Maa,DE,,Elite residential,,
Brunfels Hotel,FRA,,DE,Hyatt Unbound,Luxury hotel,,
JW Marriott Hotel Frankfurt,FRA,Frangford am Maa,DE,JW Marriott,Luxury hotel,,
Roche Harbor,FRD,,US,,Elite residential,,
Bishkek,FRU,,KG,,Elite residential,,
Casadelmar,FSC,Porto Vecchio,FR,Two Michelin keys,Luxury hotel,,
Tierra Patagonia,FTE,,CL,,Luxury hotel,,
The Ritz-Carlton Fukuoka,FUK,,JP,Ritz-Carlton,Luxury hotel,,
Sahara Desert,GBE,,BW,,Adventure Tourism,,
Grand Cayman,GCM,,KY,,Elite residential,,
The Ritz-Carlton Grand Cayman,GCM,,KY,Ritz-Carlton,Luxury hotel,,
Grand Canyon,GCN,,US,,Adventure Tourism,,
JW Marriott Hotel Guadalajara,GDL,,MX,JW Marriott,Luxury hotel,,
Governor's Harbour,GHB,,BS,,Elite residential,,
Ilha Grande,GIG,Rio de Janeiro,BR,,Adventure Tourism,,
Angra dos Reis,GIG,Rio de Janeiro,BR,,Elite residential,,
JW Marriott Hotel Rio de Janeiro,GIG,Rio de Janeiro,BR,JW Marriott,Luxury hotel,,
Ibitipoca,GIG,,BR,,Luxury hotel,,
Copacabana Palace,GIG,Rio de Janeiro,BR,,Luxury hotel,,
Fasano Angra dos Reis,GIG,Rio de Janeiro,BR,,Luxury hotel,,
Fasano Rio de Janeiro,GIG,Rio de Janeiro,BR,,Luxury hotel,,
Belmond Copacabana Palace,GIG,Rio de Janeiro,BR,,Luxury hotel,,
Fairmont Rio de Janeiro Copacabana,GIG,Rio de Janeiro,BR,,Luxury hotel,-22.9687,-43.182
Kimpton Blythswood Square,GLA,,GB,,Luxury hotel,,
Chelsea,GLW,,GB,,Elite residential,,
Kensington,GLW,,GB,,Elite residential,,
Wimbeldon,GLW,,GB,,Elite residential,,
Belgravia,GLW,London,GB,,Elite residential,,
Six Senses GRENADA,GND,,GD,Six Senses Resorts,Luxury hotel,,
Silversands Grenada,GND,,GD,,Luxury hotel,,
Alila Diwa Goa,GOA,Goa,IN,,Luxury hotel,,
Splendido,GOA,,IT,,Luxury hotel,,
Splendido Mare,GOA,,IT,,Luxury hotel,,
Villa Sant'Andrea,GOA,,IT,,Luxury hotel,,
Belmond Hotel Splendido,GOA,Genoa,IT,,Luxury hotel,,
Belmond Splendido Mare,GOA,Genoa,IT,,Luxury hotel,,
JW Marriott Goa,GOI,,IN,JW Marriott,Luxury hotel,,
The St. Regis Goa Resort,GOI,,IN,St. Regis,Luxury hotel,,
Galapagos,GPS,,EC,,Adventure Tourism,,
El Putxet i el Farró,GRO,Barcelona,ES,,Elite residential,,
Sant Gervasi,GRO,Barcelona,ES,,Elite residential,,
Brazilian GP,GRU,,BR,Formula One race held at the Autódromo José Carlos Pace,Elite Destination,-23.70111,-46.69722
Jardins,GRU,São Paulo,BR,Prestigious district with designer boutiques,Elite residential,,
JW Marriott Hotel Sao Paulo,GRU,São Paulo,BR,JW Marriott,Luxury hotel,,
Palácio Tangará,GRU,São Paulo,BR,Oetker Collection Hotels,Luxury hotel,,
Rosewood São Paulo,GRU,São Paulo,BR,Rosewood Hotel,Luxury hotel,,
Fasano Sao Paulo Itaim,GRU,São Paulo,BR,,Luxury hotel,,
Fasano Sao Paulo Jardins,GRU,São Paulo,BR,,Luxury hotel,,
Austrian GP,GRZ,,AT,Formula One race held at the Red Bull Ring,Elite Destination,47.21972,14.76472
Collège Alpin International Beau Soleil,GVA,Villars-sur-Ollon,CH,,Elite Destination,,
Cologny,GVA,Geneva,CH,,Elite residential,,
Four Seasons GENEVA,GVA,Geneva,CH,Four Seasons,Luxury hotel,,
Hotel President Wilson,GVA,Geneva,CH,Luxury Collection Hotels,Luxury hotel,,
Mandarin Oriental Geneva,GVA,Geneva,CH,Mandarin Oriental,Luxury hotel,,
The Woodward,GVA,Geneva,CH,Oetker Collection Hotels,Luxury hotel,,
Verbier,GVA,Geneva,CH,Prestigious Swiss ski resort offering exclusive chalets,Luxury hotel,,
The Ritz-Carlton Hotel de la Paix Geneva,GVA,Geneva,CH,Ritz-Carlton,Luxury hotel,,
Six Senses SWITZERLAND,GVA,Geneva,CH,Six Senses Resorts,Luxury hotel,,
Courchevel 1850,GVA,Geneva,CH,,Luxury hotel,,
L'Apogée Courchevel,GVA,Geneva,CH,,Luxury hotel,,
Les Airelles Courchevel,GVA,Geneva,CH,,Luxury hotel,,
Le Massif Courmayeur,GVA,Geneva,CH,,Luxury hotel,,
Fairmont Le Montreux Palace,GVA,,CH,,Luxury hotel,,
Aiglon College,GVA,Chesières-Villars ,CH,,School,,
Institut Le Rosey,GVA,Rolle,CH,,School,,
Sylt,GWT,,DE,,Elite residential,,
Sylt,GWT,,DE,,Elite residential,,
Azerbaijan GP,GYD,,AZ,Formula One race held at the Baku City Circuit,Elite Destination,40.3725,49.85333
Four Seasons BAKU,GYD,,AZ,Four Seasons,Luxury hotel,,
JW Marriott Absheron Baku,GYD,,AZ,JW Marriott,Luxury hotel,,
The Ritz-Carlton Baku,GYD,,AZ,Ritz-Carlton,Luxury hotel,,
Fairmont Baku Flame Towers,GYD,Baku,AZ,,Luxury hotel,40.3953,49.8436
Hotel del Parque,GYE,,EC,,Luxury hotel,,
The Ritz-Carlton Wolfsburg,HAJ,,DE,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Haikou,HAK,,CN,Ritz-Carlton,Luxury hotel,,
Waldorf Astoria Hainan Baoting Resort,HAK,Sanya,CN,,Luxury hotel,,
Etosha National Park,HAL,,NA,,Adventure Tourism,,
Park Hyatt Hamburg,HAM,Hamburg,DE,,Luxury hotel,,
Fairmont Hotel Vier Jahreszeiten,HAM,,DE,,Luxury hotel,,
Weissenhaus Private Nature Luxury Resort,HAM,,DE,,Luxury hotel,,
Nam Island,HAN,,VN,Exclusive enclave with French colonial villas,Elite residential,,
JW Marriott Hotel Hanoi,HAN,,VN,JW Marriott,Luxury hotel,,
Waldorf Astoria Hanoi,HAN,Hanoi,VN,,Luxury hotel,,
Sofitel Legend Metropole Hanoi,HAN,Hanoi,VN,,Luxury hotel,21.0245,105.8412
The Tasman,HBA,,AU,Luxury Collection Hotels,Luxury hotel,,
Four Seasons ALEXANDRIA,HBE,,EG,Four Seasons,Luxury hotel,,
Royal Malewane,HDS,,ZA,,Luxury hotel,,
Hotel Kämp,HEL,,FI,,Luxury hotel,,
Heraklion,HER,,GR,,Elite residential,,
Heraklion One&Only,HER,,GR,One&Only,Luxury hotel,,
Shangri-La Huhhot,HET,Hohhot,CN,,Luxury hotel,40.8175,111.6606
Shangri-La Hefei,HFE,Hefei,CN,,Luxury hotel,31.8639,117.2264
Wuzhen,HGH,,CN,An affluent water town near Hangzhou,Elite residential,,
Amanfayun,HGH,,CN,Aman resorts,Luxury hotel,,
Four Seasons HANGZHOU AT WEST LAKE,HGH,,CN,Four Seasons,Luxury hotel,,
JW Marriott Hotel Hangzhou,HGH,,CN,JW Marriott,Luxury hotel,,
JW Marriott Hotel Zhejiang Anji,HGH,,CN,JW Marriott,Luxury hotel,,
The Azure Qiantang,HGH,,CN,Luxury Collection Hotels,Luxury hotel,,
Rosewood Hangzhou,HGH,,CN,Rosewood Hotel,Luxury hotel,,
Conrad Hangzhou,HGH,Hangzhou,CN,,Luxury hotel,,
Park Hyatt Hangzhou,HGH,Hangzhou,CN,,Luxury hotel,,
Alila Wuzhen,HGH,,CN,,Luxury hotel,,
Banyan Tree Hangzhou,HGH,Hangzhou,CN,,Luxury hotel,,
Midtown Shangri-La,HGH,Hangzhou,CN,,Luxury hotel,30.27,120.17
Shangri-La Hangzhou,HGH,Hangzhou,CN,,Luxury hotel,30.27,120.17
Hilton Head Island,HHH,,US,,Elite residential,,
